song name,danceability (0-1),energy (0-1),valence (0-1),tempo (BPM),loudness (Decibels),speechiness (0-1),instrumentalness (0-1),How much we like it  (1-10)
I Say a Little Prayer,0.592,0.355,0.499,133.032,-14.051,0.0352,0,7
If Not For You - Remastered 2014,0.607,0.755,0.867,116.119,-6.886,0.0317,0.00399,8
If You Could Read My Mind,0.612,0.24,0.223,122.565,-12.821,0.033,7.86E-05,8
I'll Have To Say I Love You In A Song,0.536,0.446,0.707,133.785,-14.98,0.029,0.0103,10
I'm a Believer - 2006 Remaster,0.526,0.775,0.962,80.106,-6.05,0.0352,2.05E-05,8
In My Feelings,0.835,0.626,0.35,91.03,-5.833,0.125,6.00E-05,4
It All Feels Right,0.316,0.748,0.256,79.337,-8.187,0.0413,0.0139,5
Kerala,0.529,0.739,0.138,124.75,-9.578,0.0718,0.607,6
KOD,0.823,0.783,0.199,141.882,-6.274,0.154,0,4
Landslide,0.414,0.161,0.423,159.375,-22.32,0.0318,0.000223,8
Lazaretto,0.381,0.838,0.581,118.214,-6.562,0.0709,3.77E-05,5
Lazarus,0.66,0.695,0.506,129.972,-6.896,0.029,0.145,9
Let It Be,0.522,0.149,0.364,124.847,-12.609,0.0334,0,9
Let It Happen,0.602,0.881,0.577,125.012,-5.875,0.0443,0.0266,7
Let's Go,0.482,0.618,0.262,89.445,-5.133,0.0299,6.40E-05,4
Lonely Boy,0.356,0.872,0.607,166.3,-7.837,0.068,0.00975,5
Long Road Out of Eden,0.535,0.398,0.16,82.171,-9.591,0.0318,0.000889,9
Losin Control,0.759,0.245,0.209,96.992,-6.545,0.138,0.000154,5
Love the One You're With,0.609,0.489,0.132,97.163,-12.9,0.0383,0,8
LOVE. FEAT. ZACARI.,0.8,0.585,0.779,126.058,-7.343,0.0924,0,6
Magnets - SG Lewis Remix,0.56,0.418,0.334,175.996,-9.281,0.396,0.000141,5
Mannish Boy,0.568,0.898,0.833,110.824,-8.833,0.0862,0.0787,8
Maximus,0.308,0.953,0.291,118.051,-4.645,0.123,0.00154,1
Missing Pieces,0.454,0.708,0.275,154.548,-10.298,0.0838,0.00433,5
Moanin',0.488,0.476,0.583,110.951,-10.316,0.0497,0.000279,9
Mr. Tambourine Man,0.39,0.31,0.584,177.515,-14.545,0.0676,0,8
Multi-Love,0.784,0.506,0.545,120.141,-5.243,0.0403,0,4
My Arms Were Always Around You,0.643,0.436,0.422,91.485,-12.245,0.0273,0.459,8
Myth,0.448,0.733,0.407,142.008,-6.238,0.0292,0.0425,6
Never Going Back Again - 2004 Remaster,0.654,0.336,0.947,176.083,-12.825,0.0379,0.385,8
New Theory,0.549,0.865,0.355,100.511,-1.827,0.0523,0.189,4
New York's Not My Home,0.511,0.32,0.682,131.228,-15.522,0.0286,0.0269,9
